product_id,sku,name,description,category,subcategory,brand,price,currency,discount_percent,stock_quantity,rating,review_count,attributes,image_url,product_url,is_active
P0089,BLA-0089,Black+Decker Air Fryer,Black+Decker Air Fryer designed for reliable everyday household use.,Home,Kitchen,Black+Decker,11290,EGP,20,10,4.3,48,"{""color"": ""Blue"", ""capacity"": ""4L"", ""power"": ""1800W""}",https://example.com/images/p0089.jpg,https://example.com/products/p0089,True
P0090,ZAR-0090,Zara Relaxed Jeans,Zara Relaxed jeans made for everyday casual outfits.,Fashion,Jeans,Zara,3510,EGP,10,11,4.3,246,"{""color"": ""White"", ""sizes"": ""30-40"", ""fit"": ""Relaxed"", ""material"": ""Denim""}",https://example.com/images/p0090.jpg,https://example.com/products/p0090,True
P0091,SON-0091,Sony 50-inch 4K Smart TV,"Sony smart TV with a 50-inch 4K display, HDR support and streaming applications.",Electronics,TVs,Sony,51380,EGP,15,60,4.2,53,"{""color"": ""Beige"", ""screen"": ""50 inch"", ""resolution"": ""4K"", ""smart"": true, ""hdr"": true}",https://example.com/images/p0091.jpg,https://example.com/products/p0091,True
P0092,SAM-0092,Samsung 75-inch 4K Smart TV,"Samsung smart TV with a 75-inch 4K display, HDR support and streaming applications.",Electronics,TVs,Samsung,46810,EGP,15,43,4.4,1170,"{""color"": ""White"", ""screen"": ""75 inch"", ""resolution"": ""4K"", ""smart"": true, ""hdr"": true}",https://example.com/images/p0092.jpg,https://example.com/products/p0092,True
P0093,XIA-0093,Xiaomi S Series 512GB,"Xiaomi S Series smartphone with 512GB storage, a high-quality camera and long-lasting battery.",Electronics,Smartphones,Xiaomi,54250,EGP,5,45,4.3,208,"{""color"": ""White"", ""storage"": ""512GB"", ""ram"": ""6GB"", ""battery"": ""5200mAh""}",https://example.com/images/p0093.jpg,https://example.com/products/p0093,True
P0094,CER-0094,CeraVe Gentle Facial Cleanser,CeraVe facial cleanser designed for gentle daily skincare and suitable for normal skin.,Beauty,Skincare,CeraVe,770,EGP,0,39,4.4,312,"{""color"": ""Gray"", ""volume"": ""400ml"", ""skin_type"": ""normal"", ""fragrance_free"": false}",https://example.com/images/p0094.jpg,https://example.com/products/p0094,True
P0095,LEV-0095,Levi's Relaxed Jeans,Levi's Relaxed jeans made for everyday casual outfits.,Fashion,Jeans,Levi's,2520,EGP,15,7,3.9,675,"{""color"": ""Gray"", ""sizes"": ""30-40"", ""fit"": ""Relaxed"", ""material"": ""Denim""}",https://example.com/images/p0095.jpg,https://example.com/products/p0095,True
P0096,MOU-0096,Moulinex Blender,Moulinex Blender designed for reliable everyday household use.,Home,Kitchen,Moulinex,12630,EGP,10,16,4.3,850,"{""color"": ""Gray"", ""capacity"": ""6L"", ""power"": ""1000W""}",https://example.com/images/p0096.jpg,https://example.com/products/p0096,True
P0097,XIA-0097,Xiaomi Wireless Charger,Xiaomi Wireless Charger designed for reliable everyday use with compatible devices.,Electronics,Accessories,Xiaomi,500,EGP,5,13,4.9,613,"{""color"": ""Beige"", ""type"": ""Wireless Charger"", ""compatibility"": ""iPhone""}",https://example.com/images/p0097.jpg,https://example.com/products/p0097,True
P0098,IKE-0098,IKEA Nordic Table,"IKEA minimalist table designed for practical use in bedrooms, offices or living rooms.",Home,Furniture,IKEA,4460,EGP,10,8,4.5,1108,"{""color"": ""Gray"", ""material"": ""Metal""}",https://example.com/images/p0098.jpg,https://example.com/products/p0098,True
P0099,BRA-0099,Braun Iron,Braun Iron designed for reliable everyday household use.,Home,Appliances,Braun,12890,EGP,20,16,4.2,936,"{""color"": ""White"", ""capacity"": ""10L"", ""power"": ""1200W""}",https://example.com/images/p0099.jpg,https://example.com/products/p0099,True
P0100,BEL-0100,Belkin Wireless Charger,Belkin Wireless Charger designed for reliable everyday use with compatible devices.,Electronics,Accessories,Belkin,2710,EGP,5,54,4.3,1198,"{""color"": ""White"", ""type"": ""Wireless Charger"", ""compatibility"": ""Universal""}",https://example.com/images/p0100.jpg,https://example.com/products/p0100,True
